ASSESSID,TSYEAR,PT_AVAIL,SSB,R,LOCATION,TOTAL,F,CATCH_LANDINGS
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,1977,12,212937,159679,Northern Gulf of St Lawrence,387761,0.61,73566
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,1978,12,229194,175089,Northern Gulf of St Lawrence,461081,0.5,78506
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,1979,12,256442,131760,Northern Gulf of St Lawrence,438560,0.53,82777
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,1980,12,293630,206009,Northern Gulf of St Lawrence,518125,0.53,97579
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,1981,12,314781,133587,Northern Gulf of St Lawrence,561758,0.44,97911
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,1982,12,341355,133369,Northern Gulf of St Lawrence,560150,0.49,104939
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,1983,12,378057,168126,Northern Gulf of St Lawrence,602678,0.34,106080
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,1984,12,334941,126341,Northern Gulf of St Lawrence,539595,0.48,103643
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,1985,12,217934,165800,Northern Gulf of St Lawrence,534162,0.42,88289
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,1986,12,250487,125990,Northern Gulf of St Lawrence,508854,0.51,82816
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,1987,12,162351,78341,Northern Gulf of St Lawrence,321434,0.58,66547
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,1988,12,126004,80149,Northern Gulf of St Lawrence,280971,0.43,47952
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,1989,12,119855,67746,Northern Gulf of St Lawrence,211412,0.57,46919
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,1990,12,69173,64607,Northern Gulf of St Lawrence,179325,0.6,37463
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,1991,12,41740,29670,Northern Gulf of St Lawrence,112630,0.76,32017
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,1992,12,34058,17659,Northern Gulf of St Lawrence,72387,1.23,28015
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,1993,12,23175,12737,Northern Gulf of St Lawrence,41015,1.79,18440
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,1994,12,11307,18841,Northern Gulf of St Lawrence,26347,0.07,387
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,1995,12,14525,12714,Northern Gulf of St Lawrence,32791,0.03,148
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,1996,12,19261,24632,Northern Gulf of St Lawrence,39753,0.05,317
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,1997,12,26022,13118,Northern Gulf of St Lawrence,51600,0.35,4792
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,1998,12,28784,12253,Northern Gulf of St Lawrence,47881,0.19,3296
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,1999,12,36810,12141,Northern Gulf of St Lawrence,59799,0.42,7136
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,2000,12,31488,11599,Northern Gulf of St Lawrence,49987,0.38,6834
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,2001,12,27110,13056,Northern Gulf of St Lawrence,47043,0.4,7150
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,2002,12,23864,10459,Northern Gulf of St Lawrence,42778,0.47,6339
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,2003,12,23837,8908,Northern Gulf of St Lawrence,38629,0.02,406
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,2004,12,39641,10236,Northern Gulf of St Lawrence,55403,0.13,3264
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,2005,12,46808,8828,Northern Gulf of St Lawrence,59135,0.15,4479
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,2006,12,41983,8769,Northern Gulf of St Lawrence,53460,0.19,5459
NAFO-SC-COD3NO-1953-2007-BAUM,1959,6,72220,106515,Southern Grand Banks,206498,0.447,64370
NAFO-SC-COD3NO-1953-2007-BAUM,1960,6,65509,77456,Southern Grand Banks,191145,0.427,79677
NAFO-SC-COD3NO-1953-2007-BAUM,1961,6,73881,110562,Southern Grand Banks,183689,0.591,72724
NAFO-SC-COD3NO-1953-2007-BAUM,1962,6,72532,160052,Southern Grand Banks,187356,0.288,34984
NAFO-SC-COD3NO-1953-2007-BAUM,1963,6,74393,207114,Southern Grand Banks,225336,0.467,69742
NAFO-SC-COD3NO-1953-2007-BAUM,1964,6,81886,181079,Southern Grand Banks,253674,0.279,64461
NAFO-SC-COD3NO-1953-2007-BAUM,1965,6,125043,99509,Southern Grand Banks,285710,0.679,99187
NAFO-SC-COD3NO-1953-2007-BAUM,1966,6,107524,126175,Southern Grand Banks,351832,0.907,108919
NAFO-SC-COD3NO-1953-2007-BAUM,1967,6,67006,79268,Southern Grand Banks,395437,0.95,226784
NAFO-SC-COD3NO-1953-2007-BAUM,1968,6,58904,83223,Southern Grand Banks,320413,1.01,165511
NAFO-SC-COD3NO-1953-2007-BAUM,1969,6,73065,61009,Southern Grand Banks,242347,0.599,117705
NAFO-SC-COD3NO-1953-2007-BAUM,1970,6,69149,34540,Southern Grand Banks,232728,0.582,111561
NAFO-SC-COD3NO-1953-2007-BAUM,1971,6,66962,36125,Southern Grand Banks,240349,0.644,126296
NAFO-SC-COD3NO-1953-2007-BAUM,1972,6,63752,22729,Southern Grand Banks,202006,0.837,103374
NAFO-SC-COD3NO-1953-2007-BAUM,1973,6,58130,26986,Southern Grand Banks,177676,0.547,80429
NAFO-SC-COD3NO-1953-2007-BAUM,1974,6,59946,44664,Southern Grand Banks,122565,1.04,73389
NAFO-SC-COD3NO-1953-2007-BAUM,1975,6,31040,40936,Southern Grand Banks,61829,1.58,44174
NAFO-SC-COD3NO-1953-2007-BAUM,1976,6,9138,17099,Southern Grand Banks,46009,0.435,24283
NAFO-SC-COD3NO-1953-2007-BAUM,1977,6,12061,19395,Southern Grand Banks,59479,0.558,17604
NAFO-SC-COD3NO-1953-2007-BAUM,1978,6,15310,27049,Southern Grand Banks,89061,0.229,14718
NAFO-SC-COD3NO-1953-2007-BAUM,1979,6,23487,21476,Southern Grand Banks,98134,0.394,27851
NAFO-SC-COD3NO-1953-2007-BAUM,1980,6,38311,34737,Southern Grand Banks,101502,0.203,19991
NAFO-SC-COD3NO-1953-2007-BAUM,1981,6,71091,40738,Southern Grand Banks,135777,0.229,24344
NAFO-SC-COD3NO-1953-2007-BAUM,1982,6,88251,32249,Southern Grand Banks,150289,0.265,31605
NAFO-SC-COD3NO-1953-2007-BAUM,1983,6,87618,8670,Southern Grand Banks,160722,0.213,28819
NAFO-SC-COD3NO-1953-2007-BAUM,1984,6,87809,6359,Southern Grand Banks,175183,0.245,27103
NAFO-SC-COD3NO-1953-2007-BAUM,1985,6,81723,12506,Southern Grand Banks,160685,0.375,36899
NAFO-SC-COD3NO-1953-2007-BAUM,1986,6,79638,12368,Southern Grand Banks,148930,0.398,50645
NAFO-SC-COD3NO-1953-2007-BAUM,1987,6,78866,4918,Southern Grand Banks,128697,0.341,41619
NAFO-SC-COD3NO-1953-2007-BAUM,1988,6,58085,5204,Southern Grand Banks,91660,0.61,43150
NAFO-SC-COD3NO-1953-2007-BAUM,1989,6,48322,14434,Southern Grand Banks,69575,0.484,33215
NAFO-SC-COD3NO-1953-2007-BAUM,1990,6,39116,6210,Southern Grand Banks,56063,0.533,28846
